"Species.Name","AOU","Region","Region.Name","shrunk_trend","shrunk_trend_lci","shrunk_trend_uci","Original_Trend","Original_Trend_lci","Original_Trend_uci"
"Swainson's Warbler",6380,"S28","Appalachian Mountains                   ",1.71847743062827,-0.101732159950546,3.61883818093343,1.96,0.14,3.94
"Worm-eating Warbler",6390,"S28","Appalachian Mountains                   ",-0.178154444359512,-0.895265193372881,0.559641288417329,-0.18,-0.91,0.59
"Blue-winged Warbler",6410,"S28","Appalachian Mountains                   ",-0.613927561255032,-1.58240368920319,0.378375445051943,-0.62,-1.55,0.43
"Golden-winged Warbler",6420,"S28","Appalachian Mountains                   ",-5.86732695570278,-7.13076287327596,-4.59711372439106,-6.26,-7.49,-4.88
"Nashville Warbler",6450,"S28","Appalachian Mountains                   ",-1.492345495404,-2.99706290646325,0.114166397909235,-1.65,-3.39,-0.1
"Northern Parula",6480,"S28","Appalachian Mountains                   ",0.651052408974811,-0.106392256582563,1.38340850590837,0.67,-0.12,1.43
"Yellow Warbler",6520,"S28","Appalachian Mountains                   ",-1.16982287676664,-1.47893342095635,-0.84004214257525,-1.17,-1.49,-0.85
"Black-throated Blue Warbler",6540,"S28","Appalachian Mountains                   ",0.618615039458145,-0.411008552448747,1.63911274558368,0.64,-0.45,1.6
"Magnolia Warbler",6570,"S28","Appalachian Mountains                   ",1.48831124410233,0.782503986333232,2.2180299837168,1.51,0.78,2.23
"Cerulean Warbler",6580,"S28","Appalachian Mountains                   ",-1.90724136063751,-2.74304638203626,-1.07039821439816,-1.95,-2.8,-1.08
"Chestnut-sided Warbler",6590,"S28","Appalachian Mountains                   ",-0.275158501041865,-0.863280284336052,0.317314954323679,-0.28,-0.99,0.22
"Blackburnian Warbler",6620,"S28","Appalachian Mountains                   ",-0.37112003313102,-1.27171521302265,0.521346854697074,-0.38,-1.41,0.4
"Yellow-throated Warbler",6630,"S28","Appalachian Mountains                   ",0.95008662335165,0.045117262987493,1.79154992555124,0.97,0.2,1.96
"Black-throated Green Warbler",6670,"S28","Appalachian Mountains                   ",0.507070452593105,-0.071242376111009,1.08967326674256,0.52,-0.04,1.12
"Pine Warbler",6710,"S28","Appalachian Mountains                   ",0.977735655484569,0.267469563899667,1.72231262074214,1,0.27,1.72
"Prairie Warbler",6730,"S28","Appalachian Mountains                   ",-2.66146588182863,-3.29080865252162,-2.03681759568396,-2.7,-3.3,-2.04
"Ovenbird",6740,"S28","Appalachian Mountains                   ",0.509022474110772,0.114179089126641,0.91337878156366,0.51,0.08,0.88
"Northern Waterthrush",6750,"S28","Appalachian Mountains                   ",-1.10520997048914,-2.32991076060043,0.0535152267599352,-1.15,-2.45,0.08
"Louisiana Waterthrush",6760,"S28","Appalachian Mountains                   ",-0.0296554467479045,-0.564288836526912,0.508075572608558,-0.03,-0.55,0.53
"Kentucky Warbler",6770,"S28","Appalachian Mountains                   ",-1.38694908588087,-2.17402006206087,-0.565923120167137,-1.42,-2.13,-0.52
"Mourning Warbler",6790,"S28","Appalachian Mountains                   ",0.0191163951820404,-1.27396258911753,1.25178832948257,0.04,-1.39,1.25
"Common Yellowthroat",6810,"S28","Appalachian Mountains                   ",-1.00670030574232,-1.21730978276539,-0.790457759514363,-1.01,-1.23,-0.8
"Yellow-breasted Chat",6830,"S28","Appalachian Mountains                   ",-2.63417831173453,-3.09665777151506,-2.17654523091821,-2.64,-3.08,-2.15
"Hooded Warbler",6840,"S28","Appalachian Mountains                   ",1.11500133357851,0.428673732358607,1.78837023751487,1.14,0.44,1.83
"Canada Warbler",6860,"S28","Appalachian Mountains                   ",-1.28786471425466,-2.30922404823506,-0.278683991135858,-1.32,-2.43,-0.38
"American Redstart",6870,"S28","Appalachian Mountains                   ",0.0293366777533117,-0.421311615161863,0.492269080383626,0.03,-0.47,0.44
"House Sparrow",6882,"S28","Appalachian Mountains                   ",-3.1770999114366,-3.48129159572856,-2.86115680347099,-3.19,-3.51,-2.89
"Northern Mockingbird",7030,"S28","Appalachian Mountains                   ",-0.231716174538083,-0.50802803812283,0.0317076274915146,-0.23,-0.51,0.04
"Gray Catbird",7040,"S28","Appalachian Mountains                   ",-0.0202918636237768,-0.221405163178517,0.172057452052755,-0.02,-0.22,0.17
"Brown Thrasher",7050,"S28","Appalachian Mountains                   ",-0.627381152657618,-0.903018340303953,-0.345745345090848,-0.63,-0.91,-0.36
"Carolina Wren",7180,"S28","Appalachian Mountains                   ",2.11975110629766,1.71008614452439,2.5368227510883,2.13,1.71,2.55
"Bewick's Wren",7190,"S28","Appalachian Mountains                   ",-5.08503695807289,-8.01906785406872,-2.00733175260651,-7.52,-11.12,-4.08
"House Wren",7210,"S28","Appalachian Mountains                   ",-0.498037635186144,-0.772274952497676,-0.22208510964407,-0.5,-0.78,-0.22
"Winter Wren",7222,"S28","Appalachian Mountains                   ",0.975912542246556,-1.35381444924192,3.23412368537185,1.25,-1.75,3.44
"Marsh Wren",7250,"S28","Appalachian Mountains                   ",-0.835787723866676,-3.96677282174221,2.34000294702415,-1.25,-4.96,2.92
"Brown Creeper",7260,"S28","Appalachian Mountains                   ",0.451742251309563,-0.748647454152108,1.65980977444319,0.5,-0.7,1.75
"White-breasted Nuthatch",7270,"S28","Appalachian Mountains                   ",1.5025937199346,1.03703195809301,1.98326376276098,1.52,1.04,2
"Red-breasted Nuthatch",7280,"S28","Appalachian Mountains                   ",2.49261854380609,0.739380858441027,4.27056201544505,2.78,0.67,4.33
