species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Setophaga striata,Blackpoll Warbler,Setophaga striata,M,NA,-4.688,BBS7017,-7.2,-2.78,Northern Forest,South American Lowlands,Forests—Boreal,,Forests—Tropical Lowland Evergreen,,35653,Setophaga striata,Blackpoll Warbler,Setophaga striata,Setophaga striata,Setophaga striata
Setophaga caerulescens,Black-throated Blue Warbler,Setophaga caerulescens,M,NA,1.704,BBS7017,1.28,2.23,Northern Forest,Caribbean,Forests—Boreal,Forests—Temperate Eastern,Islands—Terrestrial Habitats,Coasts—Mangroves,35654,Setophaga caerulescens,Black-throated Blue Warbler,Setophaga caerulescens,Setophaga caerulescens,Setophaga caerulescens
Setophaga palmarum,Palm Warbler,Setophaga palmarum,M,NA,-0.127,BBS7017,-2.12,1.79,Northern Forest,Caribbean,Wetlands—Boreal,,Open Country—Habitat Mosaic,,35657,Setophaga palmarum,Palm Warbler,Setophaga palmarum,Setophaga palmarum,Setophaga palmarum
Setophaga pinus,Pine Warbler,Setophaga pinus,PM,NA,1.132,BBS7017,0.95,1.3,Eastern Temperate,Eastern Temperate,Forests—Temperate Eastern,,Forests—Temperate Eastern,,35661,Setophaga pinus,Pine Warbler,Setophaga pinus,Setophaga pinus,Setophaga pinus
Setophaga coronata,Yellow-rumped Warbler,Setophaga coronata,M,NA,-0.112,BBS7017,-0.41,0.15,Nearctic,Widespread,Forests—Boreal,Forests—Temperate Western,Forests—Generalist,Open Country—Habitat Mosaic,35666,Setophaga coronata,Myrtle Warbler,Setophaga coronata,Setophaga coronata,Setophaga coronata
Setophaga dominica,Yellow-throated Warbler,Setophaga dominica,M,NA,0.919,BBS7017,0.65,1.19,Eastern Temperate,Caribbean,Forests—Temperate Eastern,,Forests—Tropical Generalist,,35674,Setophaga dominica,Yellow-throated Warbler,Setophaga dominica,Setophaga dominica,Setophaga dominica
Setophaga vitellina,Vitelline Warbler,Setophaga vitellina,R,NA,NA,,NA,NA,Caribbean,Caribbean,Islands—Terrestrial Habitats,,Islands—Terrestrial Habitats,,35680,Setophaga vitellina,Vitelline Warbler,Setophaga vitellina,Setophaga vitellina,Setophaga vitellina
Setophaga discolor,Prairie Warbler,Setophaga discolor,M,NA,-1.553,BBS7017,-1.77,-1.35,Eastern Temperate,Caribbean,Forests—Temperate Eastern,,Islands—Terrestrial Habitats,Coasts—Mangroves,35684,Setophaga discolor,Prairie Warbler,Setophaga discolor,Setophaga discolor,Setophaga discolor
Setophaga graciae,Grace's Warbler,Setophaga graciae,PM,NA,-2.902,BBS7017,-4.47,-1.64,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,35693,Setophaga graciae,Grace's Warbler,Setophaga graciae,Setophaga graciae,Setophaga graciae
Setophaga nigrescens,Black-throated Gray Warbler,Setophaga nigrescens,M,NA,-1.256,BBS7017,-1.74,-0.73,Western Temperate,Mesoamerican Pacific Lowlands,Forests—Temperate Western,Forests—Mesoamerican Pine-Oak,Forests—Tropical Dry,Forests—Mesoamerican Pine-Oak,35698,Setophaga nigrescens,Black-throated Grey Warbler,Setophaga nigrescens,Setophaga nigrescens,Setophaga nigrescens
Setophaga townsendi,Townsend's Warbler,Setophaga townsendi,M,NA,-0.771,BBS7017,-1.19,-0.29,Pacific North America,Mesoamerican Highlands,Forests—Temperate Western,,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,35701,Setophaga townsendi,Townsend's Warbler,Setophaga townsendi,Setophaga townsendi,Setophaga townsendi
Setophaga occidentalis,Hermit Warbler,Setophaga occidentalis,M,NA,-0.284,BBS7017,-0.64,0.19,Pacific North America,Mesoamerican Highlands,Forests—Temperate Western,,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,35702,Setophaga occidentalis,Hermit Warbler,Setophaga occidentalis,Setophaga occidentalis,Setophaga occidentalis
