species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Perdix perdix,Gray Partridge,Perdix perdix,R,1,-1.285,BBS7017,-1.8,-0.83,Introduced,Introduced,Open Country—Developed/Disturbed,,Open Country—Developed/Disturbed,,1083,Perdix perdix,Grey Partridge,Perdix perdix,Perdix perdix,Perdix perdix
Phasianus colchicus,Ring-necked Pheasant,Phasianus colchicus,R,1,-0.408,BBS7017,-0.73,-0.09,Introduced,Introduced,Grasslands—Temperate,,Grasslands—Temperate,,1384,Phasianus colchicus,Common Pheasant,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus
Bonasa umbellus,Ruffed Grouse,Bonasa umbellus,R,NA,0.307,BBS7017,-0.18,0.83,Nearctic,Nearctic,Forests—Temperate Generalist,,Forests—Temperate Generalist,,668,Bonasa umbellus,Ruffed Grouse,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus
Centrocercus urophasianus,Greater Sage-Grouse,Centrocercus urophasianus,R,NA,-2.355,BBS7017,-3.62,-0.93,Intermountain West,Intermountain West,Aridlands—Sagebrush,,Aridlands—Sagebrush,,744,Centrocercus urophasianus,Sage Grouse,Centrocercus urophasianus,Centrocercus urophasianus,Centrocercus urophasianus
Centrocercus minimus,Gunnison Sage-Grouse,Centrocercus minimus,R,NA,NA,,NA,NA,Intermountain West,Intermountain West,Aridlands—Sagebrush,,Aridlands—Sagebrush,,745,Centrocercus minimus,Gunnison Grouse,Centrocercus minimus,Centrocercus minimus,Centrocercus minimus
Falcipennis canadensis,Spruce Grouse,Falcipennis canadensis,R,NA,1.2882743,CBC7017,-2.2906713,3.6307797,Northern Forest,Northern Forest,Forests—Boreal,,Forests—Boreal,,703,Falcipennis canadensis,Spruce Grouse,Falcipennis canadensis,Falcipennis canadensis,Falcipennis canadensis
Lagopus lagopus,Willow Ptarmigan,Lagopus lagopus,PM,NA,0.406876,BBS9317,-4.493194,5.564469,Arctic,Arctic,Tundra—Arctic,,Tundra—Arctic,,807,Lagopus lagopus,Willow Grouse,Lagopus lagopus,Lagopus lagopus,Lagopus lagopus
Lagopus muta,Rock Ptarmigan,Lagopus muta,PM,NA,NA,,NA,NA,Arctic,Arctic,Tundra—Alpine,Tundra—Arctic,Tundra—Arctic,,775,Lagopus muta,Rock Ptarmigan,Lagopus muta,Lagopus muta,Lagopus muta
Lagopus leucura,White-tailed Ptarmigan,Lagopus leucura,R,NA,NA,,NA,NA,Western Temperate,Western Temperate,Tundra—Alpine,,Tundra—Alpine,,769,Lagopus leucura,White-tailed Ptarmigan,Lagopus leucura,Lagopus leucura,Lagopus leucura
Dendragapus obscurus,Dusky Grouse,Dendragapus obscurus,R,NA,1.488,BBS7017,-0.16,2.77,Intermountain West,Intermountain West,Forests—Temperate Western,,Forests—Temperate Western,,746,Dendragapus obscurus,Dusky Grouse,Dendragapus obscurus,Dendragapus obscurus,Dendragapus obscurus
Dendragapus fuliginosus,Sooty Grouse,Dendragapus fuliginosus,R,NA,-1.095,BBS7017,-1.87,-0.18,Pacific North America,Pacific North America,Forests—Temperate Western,,Forests—Temperate Western,,751,Dendragapus fuliginosus,Sooty Grouse,Dendragapus fuliginosus,Dendragapus fuliginosus,Dendragapus fuliginosus
Tympanuchus phasianellus,Sharp-tailed Grouse,Tympanuchus phasianellus,R,NA,0.803,BBS7017,0.17,1.44,Great Plains,Great Plains,Grasslands—Temperate,Forests—Boreal,Grasslands—Temperate,Forests—Boreal,756,Tympanuchus phasianellus,Sharp-tailed Grouse,Tympanuchus phasianellus,Tympanuchus phasianellus,Tympanuchus phasianellus
Tympanuchus cupido,Greater Prairie-Chicken,Tympanuchus cupido,R,NA,3.691,BBS7017*,1.56,5.8,Great Plains,Great Plains,Grasslands—Temperate,,Grasslands—Temperate,,765,Tympanuchus cupido,Greater Prairie-chicken,Tympanuchus cupido,Tympanuchus cupido,Tympanuchus cupido
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,R,NA,NA,,NA,NA,Great Plains,Great Plains,Grasslands—Temperate,,Grasslands—Temperate,,764,Tympanuchus pallidicinctus,Lesser Prairie-chicken,Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,Tympanuchus pallidicinctus
Meleagris gallopavo,Wild Turkey,Meleagris gallopavo,R,NA,8.39,BBS7017,7.94,8.85,Nearctic,Nearctic,Forests—Temperate Generalist,,Forests—Temperate Generalist,,659,Meleagris gallopavo,Wild Turkey,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo
Meleagris ocellata,Ocellated Turkey,Meleagris ocellata,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,667,Meleagris ocellata,Ocellated Turkey,Meleagris ocellata,Meleagris ocellata,Meleagris ocellata
Phoenicopterus ruber,American Flamingo,Phoenicopterus ruber,PM,NA,NA,,NA,NA,Neotropical,Neotropical,Coasts—Beach and Estuary,Coasts—Mangroves,Coasts—Beach and Estuary,Coasts—Mangroves,6229,Phoenicopterus ruber,American Flamingo,Phoenicopterus ruber,Phoenicopterus ruber,Phoenicopterus ruber
Tachybaptus dominicus,Least Grebe,Tachybaptus dominicus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Generalist,,Wetlands—Generalist,,6177,Tachybaptus dominicus,Least Grebe,Tachybaptus dominicus,Tachybaptus dominicus,Tachybaptus dominicus
Podilymbus podiceps,Pied-billed Grebe,Podilymbus podiceps,PM,NA,0.923,BBS7017,0.52,1.34,Widespread,Widespread,Wetlands—Freshwater Marsh,,Wetlands—Lakes and Rivers,,6183,Podilymbus podiceps,Pied-billed Grebe,Podilymbus podiceps,Podilymbus podiceps,Podilymbus podiceps
Podiceps auritus,Horned Grebe,Podiceps auritus,M,NA,-1.42,BBS7017,-2.14,-0.72,Northern Forest,Nearctic,Wetlands—Freshwater Marsh,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,6205,Podiceps auritus,Horned Grebe,Podiceps auritus,Podiceps auritus,Podiceps auritus
Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,M,NA,0.944,BBS7017,0.17,1.75,Northern Forest,Nearctic,Wetlands—Lakes and Rivers,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,6198,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,Podiceps grisegena,Podiceps grisegena
Podiceps nigricollis,Eared Grebe,Podiceps nigricollis,M,NA,1.11,BBS7017,-0.32,2.51,Intermountain West,North American Southwest,Wetlands—Freshwater Marsh,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,6208,Podiceps nigricollis,Black-necked Grebe,Podiceps nigricollis,Podiceps nigricollis,Podiceps nigricollis
Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,PM,NA,-3.5649475,CBC7017,-3.9125589,-1.8546508,Western Temperate,Western Temperate,Wetlands—Freshwater Marsh,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,6221,Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,Aechmophorus occidentalis,Aechmophorus occidentalis
Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,PM,NA,-2.9086357,CBC7017,-3.9125589,-1.8546508,Western Temperate,Western Temperate,Wetlands—Freshwater Marsh,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,6224,Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,Aechmophorus clarkii,Aechmophorus clarkii
Columba livia,Rock Pigeon,Columba livia,R,1,-1.045,BBS7017,-1.33,-0.83,Introduced,Introduced,Open Country—Developed/Disturbed,,Open Country—Developed/Disturbed,,4386,Columba livia,Rock Dove,Columba livia,Columba livia,Columba livia
Patagioenas cayennensis,Pale-vented Pigeon,Patagioenas cayennensis,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4510,Patagioenas cayennensis,Pale-vented Pigeon,Patagioenas cayennensis,Patagioenas cayennensis,Patagioenas cayennensis
Patagioenas speciosa,Scaled Pigeon,Patagioenas speciosa,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4488,Patagioenas speciosa,Scaled Pigeon,Patagioenas speciosa,Patagioenas speciosa,Patagioenas speciosa
Patagioenas leucocephala,White-crowned Pigeon,Patagioenas leucocephala,R,NA,NA,,NA,NA,Caribbean,Caribbean,Coasts—Mangroves,,Coasts—Mangroves,,4486,Patagioenas leucocephala,White-crowned Pigeon,Patagioenas leucocephala,Patagioenas leucocephala,Patagioenas leucocephala
Patagioenas flavirostris,Red-billed Pigeon,Patagioenas flavirostris,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Dry,,Forests—Tropical Dry,,4519,Patagioenas flavirostris,Red-billed Pigeon,Patagioenas flavirostris,Patagioenas flavirostris,Patagioenas flavirostris
Patagioenas fasciata,Band-tailed Pigeon,Patagioenas fasciata,PM,NA,-1.631,BBS7017,-2.49,-0.9,Western Temperate,Mesoamerican Highlands,Forests—Temperate Western,Forests—Mesoamerican Highland,Forests—Mesoamerican Pine-Oak,Forests—Temperate Western,4497,Patagioenas fasciata,Northern Band-tailed Pigeon,Patagioenas fasciata,Patagioenas fasciata,Patagioenas fasciata
Patagioenas subvinacea,Ruddy Pigeon,Patagioenas subvinacea,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4538,Patagioenas subvinacea,Ruddy Pigeon,Patagioenas subvinacea,Patagioenas subvinacea,Patagioenas subvinacea
Patagioenas nigrirostris,Short-billed Pigeon,Patagioenas nigrirostris,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4549,Patagioenas nigrirostris,Short-billed Pigeon,Patagioenas nigrirostris,Patagioenas nigrirostris,Patagioenas nigrirostris
Streptopelia decaocto,Eurasian Collared-Dove,Streptopelia decaocto,R,1,32.941,BBS7017,30.93,34.55,Introduced,Introduced,Open Country—Developed/Disturbed,,Open Country—Developed/Disturbed,,4589,Streptopelia decaocto,Eurasian Collared-dove,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto
Columbina inca,Inca Dove,Columbina inca,R,NA,2.156,BBS7017,1.47,2.93,North American Southwest,North American Southwest,Open Country—Habitat Mosaic,,Open Country—Habitat Mosaic,,4832,Columbina inca,Inca Dove,Columbina inca,Columbina inca,Columbina inca
Columbina passerina,Common Ground Dove,Columbina passerina,R,NA,NA,,NA,NA,Widespread,Widespread,Aridlands—Desert Scrub,Forests—Tropical Dry,Aridlands—Desert Scrub,Forests—Tropical Dry,4836,Columbina passerina,Common Ground-dove,Columbina passerina,Columbina passerina,Columbina passerina
Columbina minuta,Plain-breasted Ground Dove,Columbina minuta,R,NA,NA,,NA,NA,Neotropical,Neotropical,Aridlands—Tropical Arid Scrub,Grasslands—Tropical,Aridlands—Tropical Arid Scrub,Grasslands—Tropical,4856,Columbina minuta,Plain-breasted Ground-dove,Columbina minuta,Columbina minuta,Columbina minuta
Columbina talpacoti,Ruddy Ground Dove,Columbina talpacoti,R,NA,NA,,NA,NA,Neotropical,Neotropical,Open Country—Habitat Mosaic,Open Country—Developed/Disturbed,Open Country—Habitat Mosaic,Open Country—Developed/Disturbed,4864,Columbina talpacoti,Ruddy Ground-dove,Columbina talpacoti,Columbina talpacoti,Columbina talpacoti
Claravis pretiosa,Blue Ground Dove,Claravis pretiosa,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4874,Claravis pretiosa,Blue Ground-dove,Claravis pretiosa,Claravis pretiosa,Claravis pretiosa
Paraclaravis mondetoura,Maroon-chested Ground Dove,Paraclaravis mondetoura,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,4876,Paraclaravis mondetoura,Maroon-chested Ground-dove,Paraclaravis mondetoura,Paraclaravis mondetoura,Paraclaravis mondetoura
Geotrygon montana,Ruddy Quail-Dove,Geotrygon montana,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4902,Geotrygon montana,Ruddy Quail-dove,Geotrygon montana,Geotrygon montana,Geotrygon montana
Geotrygon violacea,Violaceous Quail-Dove,Geotrygon violacea,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4906,Geotrygon violacea,Violaceous Quail-dove,Geotrygon violacea,Geotrygon violacea,Geotrygon violacea
Leptotrygon veraguensis,Olive-backed Quail-Dove,Leptotrygon veraguensis,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4917,Leptotrygon veraguensis,Olive-backed Quail-dove,Leptotrygon veraguensis,Leptotrygon veraguensis,Leptotrygon veraguensis
Leptotila verreauxi,White-tipped Dove,Leptotila verreauxi,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Dry,,Forests—Tropical Dry,,4918,Leptotila verreauxi,White-tipped Dove,Leptotila verreauxi,Leptotila verreauxi,Leptotila verreauxi
Leptotila jamaicensis,Caribbean Dove,Leptotila jamaicensis,R,NA,NA,,NA,NA,Caribbean,Caribbean,Forests—Tropical Dry,Islands—Terrestrial Habitats,Forests—Tropical Dry,Islands—Terrestrial Habitats,4954,Leptotila jamaicensis,Caribbean Dove,Leptotila jamaicensis,Leptotila jamaicensis,Leptotila jamaicensis
Leptotila cassinii,Gray-chested Dove,Leptotila cassinii,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4959,Leptotila cassinii,Grey-chested Dove,Leptotila cassinii,Leptotila cassinii,Leptotila cassinii
Leptotila plumbeiceps,Gray-headed Dove,Leptotila plumbeiceps,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4944,Leptotila plumbeiceps,Grey-headed Dove,Leptotila plumbeiceps,Leptotila plumbeiceps,Leptotila plumbeiceps
Zentrygon carrikeri,Tuxtla Quail-Dove,Zentrygon carrikeri,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Montane Evergreen,Forests—Tropical Lowland Evergreen,Forests—Tropical Montane Evergreen,Forests—Tropical Lowland Evergreen,4965,Zentrygon carrikeri,Tuxtla Quail-dove,Zentrygon carrikeri,Zentrygon carrikeri,Zentrygon carrikeri
Zentrygon costaricensis,Buff-fronted Quail-Dove,Zentrygon costaricensis,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,4966,Zentrygon costaricensis,Buff-fronted Quail-dove,Zentrygon costaricensis,Zentrygon costaricensis,Zentrygon costaricensis
Zentrygon lawrencii,Purplish-backed Quail-Dove,Zentrygon lawrencii,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,4967,Zentrygon lawrencii,Purplish-backed Quail-dove,Zentrygon lawrencii,Zentrygon lawrencii,Zentrygon lawrencii
Zentrygon albifacies,White-faced Quail-Dove,Zentrygon albifacies,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,4970,Zentrygon albifacies,White-faced Quail-dove,Zentrygon albifacies,Zentrygon albifacies,Zentrygon albifacies
Zentrygon chiriquensis,Chiriqui Quail-Dove,Zentrygon chiriquensis,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,4987,Zentrygon chiriquensis,Chiriqui Quail-dove,Zentrygon chiriquensis,Zentrygon chiriquensis,Zentrygon chiriquensis
Zentrygon goldmani,Russet-crowned Quail-Dove,Zentrygon goldmani,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,4988,Zentrygon goldmani,Russet-crowned Quail-dove,Zentrygon goldmani,Zentrygon goldmani,Zentrygon goldmani
Zenaida asiatica,White-winged Dove,Zenaida asiatica,PM,NA,1.179,BBS7017,0.23,1.97,North American Southwest,North American Southwest,Aridlands—Desert Scrub,Forests—Tropical Dry,Aridlands—Desert Scrub,Forests—Tropical Dry,5020,Zenaida asiatica,White-winged Dove,Zenaida asiatica,Zenaida asiatica,Zenaida asiatica
Zenaida aurita,Zenaida Dove,Zenaida aurita,R,NA,NA,,NA,NA,Caribbean,Caribbean,Islands—Terrestrial Habitats,Forests—Tropical Dry,Islands—Terrestrial Habitats,Forests—Tropical Dry,5013,Zenaida aurita,Zenaida Dove,Zenaida aurita,Zenaida aurita,Zenaida aurita
Zenaida macroura,Mourning Dove,Zenaida macroura,PM,NA,-0.335,BBS7017,-0.4,-0.28,Widespread,Widespread,Open Country—Habitat Mosaic,Open Country—Developed/Disturbed,Open Country—Developed/Disturbed,Open Country—Habitat Mosaic,4992,Zenaida macroura,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida macroura
Zenaida graysoni,Socorro Dove,Zenaida graysoni,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Islands—Terrestrial Habitats,,Islands—Terrestrial Habitats,,4999,Zenaida graysoni,Socorro Dove,Zenaida graysoni,Zenaida graysoni,Zenaida graysoni
Crotophaga major,Greater Ani,Crotophaga major,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,Wetlands—Forested,Forests—Tropical Lowland Evergreen,Wetlands—Forested,3834,Crotophaga major,Greater Ani,Crotophaga major,Crotophaga major,Crotophaga major
Crotophaga ani,Smooth-billed Ani,Crotophaga ani,R,NA,NA,,NA,NA,Neotropical,Neotropical,Open Country—Developed/Disturbed,,Open Country—Developed/Disturbed,,3835,Crotophaga ani,Smooth-billed Ani,Crotophaga ani,Crotophaga ani,Crotophaga ani
Crotophaga sulcirostris,Groove-billed Ani,Crotophaga sulcirostris,PM,NA,NA,,NA,NA,Neotropical,Neotropical,Open Country—Developed/Disturbed,,Open Country—Developed/Disturbed,,3836,Crotophaga sulcirostris,Groove-billed Ani,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris
Tapera naevia,Striped Cuckoo,Tapera naevia,R,NA,NA,,NA,NA,Neotropical,Neotropical,Open Country—Habitat Mosaic,Grasslands—Tropical,Open Country—Habitat Mosaic,Grasslands—Tropical,3839,Tapera naevia,Striped Cuckoo,Tapera naevia,Tapera naevia,Tapera naevia
Dromococcyx phasianellus,Pheasant Cuckoo,Dromococcyx phasianellus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,3843,Dromococcyx phasianellus,Pheasant Cuckoo,Dromococcyx phasianellus,Dromococcyx phasianellus,Dromococcyx phasianellus
Morococcyx erythropygus,Lesser Ground-Cuckoo,Morococcyx erythropygus,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,3847,Morococcyx erythropygus,Lesser Ground-cuckoo,Morococcyx erythropygus,Morococcyx erythropygus,Morococcyx erythropygus
Geococcyx velox,Lesser Roadrunner,Geococcyx velox,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,3854,Geococcyx velox,Lesser Roadrunner,Geococcyx velox,Geococcyx velox,Geococcyx velox
Geococcyx californianus,Greater Roadrunner,Geococcyx californianus,R,NA,0.909,BBS7017,0.51,1.31,North American Southwest,North American Southwest,Aridlands—Desert Scrub,,Aridlands—Desert Scrub,,3853,Geococcyx californianus,Greater Roadrunner,Geococcyx californianus,Geococcyx californianus,Geococcyx californianus
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,3860,Neomorphus geoffroyi,Rufous-vented Ground-cuckoo,Neomorphus geoffroyi,Neomorphus geoffroyi,Neomorphus geoffroyi
Coccycua minuta,Little Cuckoo,Coccycua minuta,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,4051,Coccycua minuta,Little Cuckoo,Coccycua minuta,Coccycua minuta,Coccycua minuta
Piaya cayana,Squirrel Cuckoo,Piaya cayana,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,4059,Piaya cayana,Common Squirrel-cuckoo,Piaya cayana,Piaya cayana,Piaya cayana
Coccyzus americanus,Yellow-billed Cuckoo,Coccyzus americanus,M,NA,-1.591,BBS7017,-1.69,-1.49,Eastern Temperate,South American Lowlands,Forests—Temperate Eastern,,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,4083,Coccyzus americanus,Yellow-billed Cuckoo,Coccyzus americanus,Coccyzus americanus,Coccyzus americanus
Coccyzus minor,Mangrove Cuckoo,Coccyzus minor,R,NA,NA,,NA,NA,Neotropical,Neotropical,Coasts—Mangroves,Forests—Tropical Dry,Coasts—Mangroves,Forests—Tropical Dry,4087,Coccyzus minor,Mangrove Cuckoo,Coccyzus minor,Coccyzus minor,Coccyzus minor
